#
#   VizieR Astronomical Server vizier.hia.nrc.ca
#    Date: 2016-09-14T22:06:08 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ57d9c98101f3	
#INFO	-out.form=mini	
#INFO	-out.max=9999	
#INFO	queryParameters=20	
#-oc.form=dec
#-nav=cat:I/239&tab:{I/239/tyc_main}&key:source=I/239/tyc_main&HTTPPRM:&&-ref=VIZ57d9c98101f3&-oc.form=sexa&-c.r=  2&-c.geom=r&-order=I&-out=TYC&-out=RAhms&-out=DEdms&-out=Vmag&-out=RA(ICRS)&-out=DE(ICRS)&-out=HIP&-sort=HIP&-out=BTmag&-out=VTmag&-out=B-V&-ignore=EpPhot=*&EpPhot=EpPhot&-file=-sort&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=9999&-out.form=ascii table&-c.eq=J2000&-c.u=arcmin&
#-c.r=  2
#-c.geom=r
#-source=I/239/tyc_main
#-order=I
#-out=TYC
#-out=RAhms
#-out=DEdms
#-out=Vmag
#-out=RA(ICRS)
#-out=DE(ICRS)
#-out=HIP
#-sort=HIP
#-out=BTmag
#-out=VTmag
#-out=B-V
#-out.max=9999
#-c.eq=J2000
#-c.u=arcmin
#
#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Coosys	J2000_1991.250:	eq_FK5 J2000
#Table	I_239_tyc_main:
#Name: I/239/tyc_main
#Title: The main part of Tycho Catalogue\vizContent{timeSerie}
#Column	TYC	(a12)	*TYC1-3 (TYC number) (T1)	[ucd=meta.id;meta.main]
#Column	RAhms	(a11)	Right ascension in h m s, ICRS (J1991.25) (T3)	[ucd=pos.eq.ra;meta.main]
#Column	DEdms	(a11)	Declination in deg ' ", ICRS (J1991.25) (T4)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (T5)	[ucd=phot.mag;em.opt.V]
#Column	RA(ICRS)	(F12.8)	*alpha, degrees (ICRS, Epoch=J1991.25) (T8)	[ucd=pos.eq.ra]
#Column	DE(ICRS)	(F12.8)	*delta, degrees (ICRS, Epoch=J1991.25) (T9)	[ucd=pos.eq.dec]
#Column	HIP	(I6)	? Hipparcos HIP number (T31) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	BTmag	(F6.3)	? Mean BT magnitude (T32)	[ucd=phot.mag;em.opt.B]
#Column	VTmag	(F6.3)	? Mean VT magnitude (T34)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Johnson B-V colour (T37)	[ucd=phot.color;em.opt.B;em.opt.V]
TYC;RAhms;DEdms;Vmag;RA(ICRS);DE(ICRS);HIP;BTmag;VTmag;B-V
9006  2509 1;14 21 48.55;-61 32 58.6; 8.72;215.45228908;-61.54961507; 70203;10.289; 8.857; 1.208
8277  3280 1;14 26 08.24;-45 13 17.0; 4.56;216.53431373;-45.22138948; 70574; 4.359; 4.531;-0.152
8687  1581 1;14 32 33.09;-56 53 15.7; 6.72;218.13787301;-56.88769942; 71116; 7.707; 6.802; 0.791
9011  1888 1;14 37 11.97;-62 00 39.2; 6.78;219.29987845;-62.01089093; 71492; 8.060; 6.888; 1.002
8283  4134 1;14 41 55.77;-47 23 17.3; 2.29;220.48239069;-47.38814127; 71860; 2.083; 2.260;-0.156
8684  3401 1;14 45 10.97;-55 36 05.8; 6.10;221.29569069;-55.60162292; 72121; 6.006; 6.083;-0.069
9007  2040 1;14 46 41.99;-61 27 43.0; 7.52;221.67494773;-61.46193238; 72264; 8.293; 7.588; 0.633
9019   195 1;14 50 30.30;-67 29 51.4; 7.44;222.62625402;-67.49761787; 72583; 8.496; 7.534; 0.836
7824  1432 1;14 51 57.61;-40 48 21.0; 7.93;222.99006142;-40.80582273; 72710; 7.828; 7.918;-0.080
9028  1324 1;14 52 35.27;-63 48 35.3; 5.95;223.14694721;-63.80980223; 72773; 6.856; 6.030; 0.729
9258  2994 1;14 57 00.69;-68 50 22.9; 8.70;224.25288300;-68.83969026; 73152; 9.609; 8.782; 0.729
8698    48 1;15 12 49.52;-54 45 19.0; 9.70;228.20632658;-54.75527045; 74448;11.479; 9.858; 1.357
9033    66 1;15 19 45.72;-66 29 45.7; 6.73;229.94050488;-66.49601829; 75018; 7.694; 6.815; 0.770
8695  2194 1;15 24 38.34;-52 51 13.9; 7.69;231.15975623;-52.85385395; 75430; 9.193; 7.819; 1.161
8700  1230 1;15 42 20.92;-55 18 42.9; 9.21;235.58716842;-55.31191792; 76918;11.092; 9.378; 1.430
8701  1047 1;15 54 42.81;-54 33 59.1; 9.62;238.67838699;-54.56642199; 77913;11.422; 9.781; 1.373
9044   358 1;16 01 10.72;-63 46 35.5; 6.40;240.29466217;-63.77653023; 78476; 7.392; 6.485; 0.793
8322   543 1;16 04 55.23;-51 57 12.6;11.48;241.23011815;-51.95350795; 78771;      ;      ;
8710  2057 1;16 05 09.96;-53 55 09.9; 9.95;241.29150393;-53.91940839; 78797;11.401;10.079; 1.121
9040   921 1;16 07 19.01;-62 54 38.0; 7.88;241.82919027;-62.91055329; 78978; 8.582; 7.947; 0.578
8711  1738 1;16 14 54.76;-53 20 18.3;10.63;243.72818148;-53.33842403; 79625;12.086;10.753; 1.129
8719   158 1;16 18 51.83;-57 53 59.2; 6.54;244.71596900;-57.89978673; 79932; 7.716; 6.640; 0.926
6798   540 1;16 21 11.32;-25 35 33.9; 2.91;245.29716258;-25.59275503; 80112; 3.037; 2.922; 0.099
7865   843 1;16 26 56.74;-43 47 57.1; 7.92;246.73642845;-43.79920368; 80563; 8.057; 7.931; 0.110
8338  1244 1;16 45 19.11;-51 20 33.3;10.19;251.32960531;-51.34257332; 82023;11.898;10.342; 1.305
8326   368 1;16 51 38.55;-45 25 36.1; 9.83;252.91062986;-45.42668543; 82498;12.150;10.034; 1.767
7364  1081 1;16 58 19.75;-33 36 32.7; 7.16;254.58227873;-33.60909152; 83059; 8.377; 7.267; 0.952
6819  3887 1;17 06 05.50;-26 34 50.0; 7.36;256.52290223;-26.58056307; 83674; 8.420; 7.454; 0.839
6829   577 1;17 22 00.58;-24 59 58.2; 3.26;260.50243384;-24.99948774; 84970; 3.016; 3.229;-0.187
8341   720 1;17 22 46.48;-45 36 51.4; 6.74;260.69366977;-45.61426757; 85035; 7.928; 6.839; 0.936
6833    85 1;17 24 34.82;-26 55 29.0; 9.15;261.14508086;-26.92472342; 85189; 9.664; 9.192; 0.444
7379   496 1;17 30 48.38;-33 36 35.6; 7.90;262.70158172;-33.60989786; 85701; 9.026; 7.999; 0.887
7388  1093 1;17 33 36.53;-37 06 13.5; 1.63;263.40219605;-37.10374834; 85927; 1.446; 1.607;-0.142
7888  5616 1;17 37 37.56;-40 48 48.7; 7.27;264.40650982;-40.81353841; 86269; 8.113; 7.342; 0.685
7380   607 1;17 39 37.59;-32 19 12.4; 7.17;264.90662906;-32.32012332; 86432; 7.124; 7.158;-0.032
7885  2065 1;17 42 29.28;-39 01 47.7; 2.39;265.62199945;-39.02992121; 86670; 2.161; 2.357;-0.173
6836   118 1;17 47 33.63;-27 49 50.7; 4.56;266.89011295;-27.83076280; 87072; 5.452; 4.638; 0.719
7377   688 1;17 48 37.50;-30 28 33.4; 8.80;267.15624959;-30.47595667; 87173;10.426; 8.945; 1.246
5095   339 1;17 52 38.70;-06 08 36.8; 6.18;268.16126462; -6.14356493; 87495; 7.879; 6.324; 1.304
 417  2592 1;17 56 18.40;+00 40 13.3; 5.84;269.07668076;  0.67035710; 87812; 5.897; 5.839; 0.048
6854  4373 1;18 05 01.22;-29 34 48.3; 4.65;271.25509411;-29.58007695; 88567; 5.602; 4.736; 0.760
6276   685 1;18 08 44.92;-22 09 38.4; 7.95;272.18714797;-22.16067718; 88884; 7.932; 7.941;-0.010
5688   156 1;18 10 02.13;-13 32 45.5;10.84;272.50888575;-13.54596404; 89013;      ;      ;
6843   378 1;18 13 02.49;-23 07 02.2; 7.07;273.26039495;-23.11726688; 89276; 8.257; 7.175; 0.931
6273   761 1;18 16 59.72;-19 04 33.0; 7.84;274.24881557;-19.07583169; 89596; 9.454; 7.981; 1.239
6273   200 1;18 21 22.99;-18 51 35.9; 5.77;275.34578565;-18.85998328; 89968; 6.827; 5.858; 0.842
6269  2776 1;18 23 19.15;-18 34 29.3;10.32;275.82979543;-18.57479689; 90110;12.839;10.539; 1.923
6266  1624 1;18 24 44.50;-16 47 49.8; 8.65;276.18542164;-16.79717146; 90241; 9.859; 8.750; 0.952
5699   280 1;18 31 19.75;-13 06 29.3; 9.96;277.83230278;-13.10815113; 90791;11.167;10.064; 0.948
6274  1601 1;18 31 53.34;-19 07 30.2; 6.59;277.97223619;-19.12505717; 90836; 7.953; 6.707; 1.060
 454   826 1;18 36 15.93;+04 23 53.7; 9.53;279.06639266;  4.39824009; 91201;11.232; 9.683; 1.299
5691   913 1;18 36 39.60;-08 11 05.3;10.22;279.16498492; -8.18480040; 91239;11.614;10.340; 1.083
5125   560 1;18 37 51.11;-06 47 48.5; 7.95;279.46293813; -6.79681113; 91342; 9.933; 8.123; 1.506
5691  1302 1;18 38 03.30;-08 22 08.1; 9.68;279.51376442; -8.36891092; 91366;11.659; 9.857; 1.500
5125  2906 1;18 41 00.66;-06 05 50.0;10.58;280.25276328; -6.09722355; 91613;      ;      ;
5121   297 1;18 41 56.38;-04 06 38.3; 9.49;280.48493675; -4.11064944; 91697;11.653; 9.680; 1.645
5121   954 1;18 42 07.91;-04 17 36.5;10.99;280.53297696; -4.29347547; 91706;      ;      ;
5121   611 1;18 42 26.82;-05 20 27.0;11.21;280.61175534; -5.34084231; 91738;      ;      ;
5125  1849 1;18 42 57.27;-05 49 15.2; 9.59;280.73863281; -5.82090222; 91785;11.255; 9.736; 1.276
5692   795 1;18 43 43.51;-07 43 52.0; 8.33;280.93129257; -7.73110381; 91867; 9.559; 8.432; 0.967
6292    30 1;18 45 17.50;-20 38 50.5; 7.46;281.32291244;-20.64737069; 92013; 8.579; 7.557; 0.884
1033  1898 1;18 45 54.11;+12 20 10.1;10.01;281.47544148; 12.33614082; 92067;11.459;10.137; 1.120
6281   535 1;18 49 28.59;-16 43 22.9; 7.38;282.36912332;-16.72301766; 92370; 8.634; 7.485; 0.984
6289  3062 1;18 50 59.87;-20 17 42.8; 6.92;282.74946756;-20.29521712; 92491; 8.094; 7.019; 0.925
9082  1890 1;18 56 57.04;-67 14 00.7; 4.40;284.23766901;-67.23353448; 93015; 5.266; 4.475; 0.701
5115   227 1;18 57 24.27;-00 43 48.8;11.16;284.35111733; -0.73022286; 93063;      ;      ;
1589  2551 1;18 58 14.75;+17 21 39.4; 5.33;284.56144750; 17.36093640; 93124; 6.220; 5.411; 0.715
 462  1251 1;19 01 19.73;+00 08 49.3; 9.86;285.33220379;  0.14701789; 93399;11.781;10.031; 1.459
 462  1084 1;19 04 39.42;+01 18 22.2; 8.57;286.16423343;  1.30615999; 93681;10.293; 8.721; 1.318
 463   925 1;19 08 13.75;+01 17 55.2; 7.09;287.05729157;  1.29866320; 93990; 8.720; 7.234; 1.250
5141   338 1;19 08 20.77;-07 26 15.9; 7.79;287.08654510; -7.43773797; 94004; 9.181; 7.909; 1.081
1045   646 1;19 09 15.99;+10 33 09.0; 8.29;287.31662341; 10.55250446; 94094; 9.826; 8.421; 1.186
 467   997 1;19 12 47.32;+03 33 26.7; 8.41;288.19714672;  3.55742566; 94402; 9.914; 8.542; 1.160
1045   567 1;19 14 58.10;+10 24 33.9; 7.40;288.74210153; 10.40940785; 94588; 7.385; 7.395;-0.011
2132  3196 1;19 15 59.49;+27 55 34.7; 6.18;288.99786028; 27.92630013; 94685; 6.931; 6.245; 0.618
 464  2054 1;19 17 14.80;+01 03 33.9; 8.29;289.31168629;  1.05942807; 94793; 8.525; 8.309; 0.197
1042   422 1;19 21 02.34;+08 30 58.9;10.19;290.25975550;  8.51635190; 95118;11.846;10.336; 1.269
5143  1372 1;19 29 21.36;-07 02 38.6; 6.37;292.33900345; -7.04406633; 95820; 7.593; 6.475; 0.959
1610   775 1;19 36 37.73;+20 19 58.6; 7.15;294.15720200; 20.33294824; 96458; 8.699; 7.282; 1.195
2659  2397 1;19 38 11.58;+32 29 22.5;10.92;294.54826639; 32.48956954; 96596;11.800;10.995; 0.712
2151  5896 1;19 44 48.73;+29 15 52.9; 6.97;296.20305972; 29.26470091; 97150; 7.747; 7.041; 0.634
2139  2370 1;19 46 35.18;+22 53 23.2;10.50;296.64660095; 22.88977157; 97309;12.104;10.637; 1.235
3148   315 1;19 48 15.47;+43 07 37.0; 9.14;297.06444455; 43.12694038; 97439;10.139; 9.225; 0.798
2148  4057 1;19 51 30.91;+27 27 36.9; 7.33;297.87878053; 27.46024742; 97717; 9.314; 7.510; 1.502
5733  1589 1;19 52 20.99;-11 22 00.7; 7.80;298.08743953;-11.36684966; 97794; 8.963; 7.904; 0.913
 480  3027 1;19 52 28.36;+01 00 20.4; 3.87;298.11818426;  1.00567797; 97804; 4.829; 3.958; 0.764
1616   837 1;19 56 01.26;+16 38 05.3; 5.71;299.00526422; 16.63481618; 98085; 6.850; 5.811; 0.897
2149   741 1;19 57 28.61;+26 33 23.3; 8.86;299.36919046; 26.55647641; 98212;10.528; 9.008; 1.277
1075  2154 1;19 57 33.02;+11 02 37.3;10.08;299.38758609; 11.04369367; 98217;11.210;10.180; 0.889
2153  2761 1;19 59 10.80;+29 27 02.7; 9.89;299.79499556; 29.45075872; 98376;11.514;10.028; 1.250
1617  1311 1;20 01 09.82;+15 48 12.7;10.14;300.29090632; 15.80352157; 98553;11.173;10.228; 0.822
2678   210 1;20 04 26.56;+34 06 44.3; 9.02;301.11068035; 34.11229419; 98852;10.623; 9.154; 1.236
2683  1235 1;20 09 07.76;+37 09 07.1; 9.86;302.28233726; 37.15196779; 99276;11.240; 9.982; 1.071
2675   527 1;20 12 22.83;+32 52 17.9; 9.44;303.09512401; 32.87163800; 99567;11.066; 9.585; 1.246
2680  1262 1;20 15 58.33;+35 00 52.9;10.73;303.99305641; 35.01469458; 99887;12.189;10.851; 1.133
3573  1534 1;20 32 54.30;+46 36 04.6; 9.36;308.22623670; 46.60128578;101393;11.209; 9.520; 1.410
2695  4136 1;20 43 24.20;+35 35 16.1; 6.48;310.85082077; 35.58780956;102276; 8.104; 6.618; 1.250
2183  2726 1;20 51 28.24;+28 15 01.9; 5.61;312.86764713; 28.25051843;102949; 6.337; 5.672; 0.601
2183  2731 1;20 54 22.39;+28 31 19.2; 6.55;313.59330911; 28.52201047;103191; 6.357; 6.526;-0.149
3579  1443 1;20 54 57.54;+47 32 01.7;10.89;313.73974063; 47.53380119;103241;12.080;10.992; 0.936
3171  1769 1;20 57 20.83;+40 10 39.0;10.06;314.33680116; 40.17751385;103433;12.053;10.239; 1.510
3176  1217 1;21 00 06.38;+42 35 51.2; 9.49;315.02659235; 42.59756600;103656;11.768; 9.688; 1.736
3172  1510 1;21 04 16.64;+39 58 20.1; 9.55;316.06932934; 39.97225613;104002;10.975; 9.673; 1.104
2701  3917 1;21 06 30.24;+31 11 04.8; 5.77;316.62600758; 31.18466949;104185; 6.424; 5.830; 0.545
2701  3918 1;21 08 38.66;+30 12 22.4; 8.07;317.16107309; 30.20623122;104371; 8.404; 8.096; 0.286
2701  3919 1;21 08 38.87;+30 12 20.4; 5.70;317.16196070; 30.20567825;104371; 5.589; 5.679;-0.080
3596   297 1;21 10 54.37;+49 08 31.3;10.79;317.72654112; 49.14203624;104564;11.955;10.886; 0.920
3177  1000 1;21 14 40.43;+41 42 58.9; 9.74;318.66846281; 41.71635496;104877;11.504; 9.892; 1.350
3169  3875 1;21 19 22.18;+38 14 14.9; 5.89;319.84241889; 38.23748155;105269; 6.481; 5.942; 0.502
3589  4843 1;21 20 32.90;+45 28 03.1; 9.10;320.13709554; 45.46751776;105369;10.358; 9.209; 0.984
1110  1376 1;21 23 28.81;+09 55 55.0; 8.54;320.87003451;  9.93194291;105614; 8.274; 8.507;-0.205
1667  1093 1;21 24 00.25;+18 16 43.9; 9.17;321.00102398; 18.27886404;105653;10.273; 9.266; 0.871
4465  2643 1;21 28 39.57;+70 33 38.5; 3.23;322.16489462; 70.56069426;106032; 2.958; 3.195;-0.207
3603  1495 1;21 37 28.13;+51 45 45.0;10.42;324.36722631; 51.76250817;106754;11.790;10.533; 1.069
3197  2856 1;21 51 41.44;+43 08 02.6; 9.10;327.92268026; 43.13405057;107899;10.284; 9.198; 0.934
4262  1009 1;21 57 51.93;+61 01 07.9; 7.85;329.46637945; 61.01887102;108426; 8.909; 7.945; 0.837
3972   139 1;21 57 52.71;+56 09 50.1;10.44;329.46962179; 56.16392063;108427;12.508;10.628; 1.566
3210  1636 1;22 00 25.15;+43 26 43.4; 8.89;330.10478979; 43.44537846;108630;10.033; 8.990; 0.901
3618  3246 1;22 09 02.90;+51 02 45.1; 9.13;332.26208967; 51.04586679;109340; 9.982; 9.201; 0.693
4267   251 1;22 10 59.52;+63 23 58.3; 7.46;332.74800311; 63.39953137;109505; 7.601; 7.473; 0.112
3995  1462 1;22 28 50.09;+58 12 39.4;11.21;337.20871694; 58.21095088;110964;      ;      ;
3619  2726 1;22 28 58.32;+50 57 47.3; 7.86;337.24301472; 50.96314280;110968; 8.763; 7.941; 0.726
3995  1479 1;22 29 10.25;+58 24 54.7; 4.07;337.29270143; 58.41519000;110991; 5.021; 4.150; 0.764
3992  1548 1;22 40 52.15;+56 49 46.1; 8.56;340.21729509; 56.82947183;111972;10.037; 8.687; 1.143
3992  2406 1;22 41 26.53;+56 25 58.1; 8.87;340.36054555; 56.43279365;112026; 9.912; 8.960; 0.828
3218  2413 1;22 41 28.65;+40 13 31.7; 5.24;340.36938166; 40.22546239;112031; 5.046; 5.213;-0.147
3996   338 1;22 46 24.78;+59 26 32.0; 9.64;341.60323966; 59.44221855;112430;11.303; 9.781; 1.279
3992  2738 1;22 48 38.00;+56 19 17.6; 8.89;342.15832626; 56.32154211;112626; 9.952; 8.978; 0.846
3992  2327 1;22 49 03.18;+56 25 41.5; 8.41;342.26326386; 56.42820728;112675; 9.430; 8.501; 0.810
3223  3620 1;22 56 23.63;+41 36 14.0; 5.60;344.09846311; 41.60388675;113281; 5.398; 5.569;-0.151
4010  2235 1;23 07 10.08;+58 33 15.2; 9.69;346.79200490; 58.55421472;114160;11.134; 9.817; 1.116
4283  1264 1;23 22 28.44;+62 45 25.8;11.00;350.61851165; 62.75715520;115390;      ;      ;
4284   433 1;23 29 12.77;+63 22 27.5;11.63;352.30319292; 63.37430732;115925;      ;      ;
4284   674 1;23 37 16.06;+62 25 44.4;10.05;354.31692616; 62.42900193;116556;11.810;10.201; 1.347
4012  1061 1;23 38 48.40;+59 23 30.6;11.24;354.70165825; 59.39183144;116684;      ;      ;
4285   603 1;23 45 02.62;+63 00 13.9;10.45;356.26090664; 63.00385597;117154;12.105;10.595; 1.269
4013  1168 1;23 52 07.04;+58 44 30.2; 9.98;358.02932327; 58.74171850;117690;11.447;10.103; 1.137
4285   314 1;23 57 34.96;+62 43 05.7; 9.84;359.39568416; 62.71824665;118122;11.277; 9.965; 1.113
4281  1902 1;23 58 17.98;+61 13 15.8;11.09;359.57491737; 61.22106517;118174;      ;      ;
