#
#   VizieR Astronomical Server vizier.hia.nrc.ca
#    Date: 2016-09-14T21:47:42 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ57d9c09c3917	
#INFO	-out.max=unlimited	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=I/239/hip_va_1
#-nav=cat:I/239&tab:{I/239/hip_va_1}&key:source=I/239/hip_va_1&HTTPPRM:&&-ref=VIZ57d9c09c3917&-out.max=unlimited&-out.form=ascii - 999%27filled&-oc.form=sexa&-order=I&-out=HIP&-out=SpType&-out=VarType&VarType=~*cep*&-out=maxMag&-out=l_minMag&-out=minMag&-out=Period&-out=Notes&-out=VarName&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=I/239/hip_va_1
#-source=I/239/hip_va_1
#-order=I
#-out=HIP
#-out=SpType
#-out=VarType
#VarType=~*cep*
#-out=maxMag
#-out=l_minMag
#-out=minMag
#-out=Period
#-out=Notes
#-out=VarName
#

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Table	I_239_hip_va_1:
#Name: I/239/hip_va_1
#Title: Variability Annex: Periodic variables
#Column	HIP	(I6)	Identifier (HIP) (P1)	[ucd=meta.id;meta.main]
#Column	SpType	(a12)	Spectral type (P3)	[ucd=src.spType]
#Column	VarType	(a6)	*Variability type as in GCVS/NSV (P5)	[ucd=meta.code;src.var]
#Column	maxMag	(F6.3)	Magnitude at max from curve fitting (P7)	[ucd=phot.mag]
#Column	l_minMag	(A1)	*[>] Limit flag (>) (P8)	[ucd=meta.code.error]
#Column	minMag	(F6.3)	Magnitude at min from curve fitting (P9)	[ucd=phot.mag]
#Column	Period	(F12.7)	? Mean period in days (P11)	[ucd=time.period]
#Column	Notes	(A1)	*[DGPWXYZ] Existence of notes (P16)	[ucd=meta.note]
#Column	VarName	(a12)	Variable star name (P17)	[ucd=meta.id]
HIP;SpType;VarType;maxMag;l_minMag;minMag;Period;Notes;VarName
 96596;F6          ;DCEPS ;10.720; ;10.999;   5.5707000; ;V924_Cyg
 97150;F2Iab:      ;DCEP  ; 6.525; ; 7.321;   3.8455000; ;SU_Cyg
 97309;            ;DCEP  ;10.429; ;11.227;   5.1974000;P;BR_Vul
 97439;G2          ;CEP   ; 9.109; ; 9.511;   4.9246000; ;V1154_Cyg
 97717;K0var       ;DCEP  ; 6.808; ; 7.892;  44.9600000; ;SV_Vul
 97794;G5          ;DCEPS ; 7.676; ; 8.203;   5.3747000; ;V1162_Aql
 97804;F6Ibv SB    ;DCEP  ; 3.646; ; 4.465;   7.1778000;P;eta_Aql
 98085;G5Ibv SB    ;DCEP  ; 5.412; ; 6.186;   8.3827000;P;S_Sge
 98212;F8Ia        ;DCEP  ; 8.576; ; 9.344;   6.3199000; ;X_Vul
 98217;K0          ;DCEP  ; 9.908; ;10.361;   6.1786000; ;V733_Aql
 98376;F7.5        ;DCEP  ; 9.685; ;10.447;   7.8180000; ;GH_Cyg
 98553;F6Iab       ;DCEP  ; 9.954; ;10.736;   6.1075000; ;KL_Aql
 98852;G5Iab-bv    ;DCEP  ; 8.379; ; 9.655;  17.0710000; ;CD_Cyg
 99276;G0IIIvar    ;DCEP  ; 9.698; ;10.297;   4.3646000; ;V402_Cyg
 99567;G1Ibvar     ;DCEP  ; 9.250; ; 9.968;   5.9549000; ;MW_Cyg
 99887;            ;DCEP  ;10.515; ;10.962;   6.7214000;P;V495_Cyg
101393;F7.5v       ;DCEP  ; 9.064; ; 9.982;  15.1090000; ;SZ_Cyg
102276;G8Ib        ;DCEP  ; 6.030; ; 7.060;  16.3870000;P;X_Cyg
102949;F5Ib        ;DCEP  ; 5.504; ; 6.201;   4.4354000; ;T_Vul
103191;B2IIIvar    ;BCEP  ; 6.411; ; 6.635;   0.2010440; ;BW_Vul
103241;G0          ;DCEP  ;10.675; ;11.284;   4.0488000; ;V520_Cyg
103433;F5e-G2I-II  ;DCEP  ; 9.415; ;10.624;  20.1410000; ;VX_Cyg
103656;F5.5Ibv     ;DCEP  ; 8.868; ; 9.966;  14.7080000; ;TX_Cyg
104002;F5.5Ibv     ;DCEP  ; 9.334; ;10.145;   7.8561000; ;VY_Cyg
104185;F7.5Ib-IIv  ;DCEPS ; 5.744; ; 6.036;   2.4992500; ;DT_Cyg
104371;B9V         ;BCEP  ; 5.571; ; 5.617;   1.4289000;P;V389_Cyg
104564;F8          ;DCEP  ;10.389; ;11.101;   7.2521000; ;V459_Cyg
104877;F5.5Ib      ;DCEP  ; 9.377; ;10.017;   5.2577000; ;V386_Cyg
105269;F2Ib        ;DCEP  ; 5.903; ; 6.065;   3.3325900; ;V1334_Cyg
105369;F5          ;DCEPS ; 9.041; ; 9.418;   3.2837800; ;V532_Cyg
105614;B0.5IIIn    ;BCEP  ; 8.470; ; 8.535;   0.1658677; ;SY_Equ
105653;F8          ;CEP   ; 9.216; ; 9.564;   2.4105000;P;AU_Peg
106032;B2IIIv SB   ;BCEP  ; 3.130; ; 3.159;   0.1904820;P;bet_Cep
106754;            ;DCEP  ;10.339; ;10.887;   6.1187000; ;V538_Cyg
107899;F7          ;DCEP  ; 8.737; ; 9.432;   4.8642000; ;VZ_Cyg
108426;G0          ;DCEP  ; 7.753; ; 8.125;   2.1142200; ;IR_Cep
108427;F5Ib-F7     ;DCEP  ;10.255; ;11.041;  17.8640000; ;CP_Cep
108630;G0.7        ;DCEP  ; 8.703; ; 9.330;   5.3319000; ;BG_Lac
109340;F7          ;DCEP  ; 8.883; ; 9.613;   4.3238000; ;Y_Lac
109505;B5          ;BCEP  ; 7.388; ; 7.435;   0.3140130;W;V447_Cep
110964;F9          ;DCEP  ;11.011; ;11.732;   7.2320000; ;AK_Cep
110968;G5          ;DCEP  ; 7.834; ; 8.073;   2.9081600; ;V411_Lac
110991;G2Ibvar     ;DCEP  ; 3.560; ; 4.515;   5.3661000;P;del_Cep
111972;F6Ibvar     ;DCEP  ; 8.095; ; 9.001;  10.8850000; ;Z_Lac
112026;F9          ;DCEP  ; 8.571; ; 9.379;   6.4164000; ;RR_Lac
112031;B2IIIv SB   ;BCEP  ; 5.152; ; 5.238;   0.1930920; ;DD_Lac
112430;F8.4        ;DCEP  ; 9.596; ; 9.959;   6.2333000; ;CR_Cep
112626;F7          ;DCEP  ; 8.529; ; 9.547;   4.9829000; ;V_Lac
112675;F7.5        ;DCEPS ; 8.349; ; 8.758;   5.4444000; ;X_Lac
113281;B2IV        ;BCEP  ; 5.541; ; 5.560;   0.1712030;P;EN_Lac
114160;F9          ;DCEP  ; 9.496; ;10.148;   5.4399000; ;SW_Cas
115390;F3Ibp-F6    ;DCEP  ;10.478; ;11.560;  15.0890000; ;CH_Cas
115925;G1IB        ;DCEP  ;11.065; ;12.289;  14.3660000; ;CY_Cas
116556;F9Ib        ;DCEP  ; 9.648; ;10.446;   6.2962000; ;RS_Cas
116684;F7          ;DCEP  ;10.970; ;11.575;   4.9976000; ;DW_Cas
117154;G0.5        ;DCEP  ;10.507; ;11.304;   7.8009000;P;CD_Cas
117690;F9Ib        ;DCEP  ; 9.524; ;10.496;  12.1410000; ;RY_Cas
118122;F9          ;DCEP  ; 9.757; ;10.354;   9.8080000; ;DD_Cas
118174;F8Ibvar     ;DCEP  ;10.944; ;11.517;   4.8755000; ;CF_Cas

